# {"t_start": 1564156370.2864819, "env_id": null} 
r,l,t
24.602358,15843,333.728097
10.0,1,333.76219
10.0,1,333.797788
10.0,1,333.833922
10.380064,1,333.868731
10.978727,2386,383.922303
14.118849,1693,418.508752
9.823173,1,418.543302
10.0,1,418.581138
10.0,1,418.615218
17.431902,2180,463.418818
11.254563,16346,799.522803
10.0,1,799.558868
10.0,1,799.59387
10.0,1,799.628795
10.0,1,799.662144
10.0,1,799.694184
10.0,1,799.726581
10.0,1,799.759999
10.0,1,799.791749
10.0,1,799.824217
10.0,1,799.856748
10.0,1,799.891879
10.0,1,799.925286
10.0,1,799.958363
10.0,1,799.991291
10.0,1,800.023496
10.0,1,800.058342
10.0,1,800.090255
10.0,1,800.125124
15.610587,5017,900.423885
10.0,1,900.454585
10.0,1,900.490211
10.084638,1,900.524676
14.750093,515,911.636112
10.0,1,911.670691
9.931145,1,911.704675
-10.356477,19178,1302.35182
10.0,1,1302.387322
10.0,1,1302.422289
10.0,1,1302.459112
10.0,1,1302.493756
10.0,1,1302.527449
10.0,1,1302.560974
10.0,1,1302.594227
10.0,1,1302.629883
10.0,1,1302.663662
10.0,1,1302.697741
10.0,1,1302.732812
10.0,1,1302.767892
10.0,1,1302.804254
10.0,1,1302.838083
10.0,1,1302.871755
10.0,1,1302.905813
10.0,1,1302.941239
10.0,1,1302.977474
10.0,1,1303.011149
10.0,1,1303.045121
10.0,1,1303.078927
10.0,1,1303.112931
10.0,1,1303.148587
10.0,1,1303.182434
10.0,1,1303.216646
10.0,1,1303.25025
10.0,1,1303.283828
10.0,1,1303.318776
10.0,1,1303.352677
10.0,1,1303.385448
10.0,1,1303.417159
10.0,1,1303.451015
10.0,1,1303.488645
10.0,1,1303.522948
10.0,1,1303.555703
10.0,1,1303.590433
10.0,1,1303.625514
10.0,1,1303.661166
10.0,1,1303.692589
10.0,1,1303.725
10.0,1,1303.759822
10.0,1,1303.795058
10.0,1,1303.830194
10.0,1,1303.863223
10.0,1,1303.896671
10.0,1,1303.932953
10.0,1,1303.965666
10.0,1,1304.001741
10.0,1,1304.034489
10.0,1,1304.06875
10.0,1,1304.101154
10.0,1,1304.13479
10.0,1,1304.170955
10.0,1,1304.20408
10.0,1,1304.237699
10.0,1,1304.271864
10.0,1,1304.305161
10.0,1,1304.340135
10.0,1,1304.373525
10.0,1,1304.407616
10.0,1,1304.443351
10.0,1,1304.476198
10.0,1,1304.510384
10.0,1,1304.542839
10.0,1,1304.574517
10.0,1,1304.607378
10.0,1,1304.640372
10.0,1,1304.675949
10.0,1,1304.710797
10.0,1,1304.745235
10.0,1,1304.776835
10.0,1,1304.809579
9.009505,4155,1390.229661
10.0,1,1390.264548
5.257085,13482,1662.837165
9.935756,44,1664.132181
10.0,1,1664.164161
10.0,1,1664.197649
10.0,1,1664.22935
10.0,1,1664.265238
10.0,1,1664.29616
10.0,1,1664.33036
10.0,1,1664.365085
10.0,1,1664.396022
10.0,1,1664.434853
10.0,1,1664.467634
10.0,1,1664.500525
10.0,1,1664.53361
10.0,1,1664.56514
10.0,1,1664.59926
10.0,1,1664.632181
10.0,1,1664.662075
10.0,1,1664.696997
10.0,1,1664.731806
10.0,1,1664.764581
10.0,1,1664.801011
10.0,1,1664.834216
10.0,1,1664.869223
10.0,1,1664.903419
10.0,1,1664.934687
10.0,1,1664.975189
9.890009,1,1665.005697
10.0,1,1665.041234
10.0,1,1665.072177
10.0,1,1665.109309
10.0,1,1665.143323
10.0,1,1665.176504
10.0,1,1665.208724
7.434288,2721,1719.394144
9.833243,1,1719.430403
16.241599,14741,2019.309627
10.0,1,2019.34249
10.010009,1,2019.376123
10.0,1,2019.408304
10.0,1,2019.443708
10.0,1,2019.476989
10.0,1,2019.510719
10.0,1,2019.545634
10.0,1,2019.578887
10.0,1,2019.615428
10.0,1,2019.648369
10.0,1,2019.681224
10.0,1,2019.715361
10.0,1,2019.748191
10.0,1,2019.783404
10.0,1,2019.817181
10.0,1,2019.850744
10.0,1,2019.884159
10.0,1,2019.917129
10.0,1,2019.951191
10.0,1,2019.983948
10.0,1,2020.016026
10.0,1,2020.048199
10.0,1,2020.080332
10.0,1,2020.115568
10.0,1,2020.14809
10.0,1,2020.178584
10.0,1,2020.21143
10.0,1,2020.241895
10.0,1,2020.274356
10.0,1,2020.307645
10.0,1,2020.33856
10.0,1,2020.371332
10.0,1,2020.403701
10.0,1,2020.43621
10.0,1,2020.47146
10.0,1,2020.505133
10.0,1,2020.537259
10.0,1,2020.573053
10.0,1,2020.617069
10.0,1,2020.651643
10.0,1,2020.689818
10.0,1,2020.72665
10.0,1,2020.761363
10.0,1,2020.800468
10.0,1,2020.832982
10.0,1,2020.865834
10.0,1,2020.89906
10.0,1,2020.930895
10.0,1,2020.971591
10.0,1,2021.006904
10.0,1,2021.049544
10.0,1,2021.083254
10.0,1,2021.1177
10.0,1,2021.152567
10.0,1,2021.184907
10.0,1,2021.217384
10.0,1,2021.252847
10.0,1,2021.284836
10.0,1,2021.344167
10.0,1,2021.377854
10.0,1,2021.41057
10.0,1,2021.443295
10.0,1,2021.473634
10.0,1,2021.508558
10.0,1,2021.53988
-13.078205,18328,2391.258149
