# {"t_start": 1563513144.9197052, "env_id": null} 
r,l,t
6.291974,3421,145.56165
0.31822,1,145.608494
3.340981,4107,319.782858
0.84533,1,319.822922
4.417488,1,319.86996
15.934873,4707,519.478346
0.373884,1,519.515247
9.501819,8451,877.477689
0.501131,1,877.524565
0.501131,1,877.558473
28.175367,8706,1246.450491
0.417798,1,1246.496245
0.278796,1,1246.53614
15.964292,13036,1798.916608
1.58193,1,1798.95351
1.581945,1,1798.997392
0.542635,1,1799.048258
0.542635,1,1799.085163
5.537151,6732,2084.724528
1.115482,1,2084.766385
2.989713,4028,2255.372243
0.360433,1,2255.413162
0.360433,1,2255.455365
22.621458,25983,3355.945982
1.352048,1,3355.980888
20.872225,20851,4240.408147
0.276729,1,4240.447549
0.276729,1,4240.490435
14.189271,12032,4749.894734
0.730916,1,4749.935657
14.883333,6979,5045.748463
48.396954,8124,5389.857245
23.174575,11597,5880.909239
0.615961,1,5880.930182
4.481906,1672,5951.880325
0.774143,1,5951.908251
7.061218,3917,6117.765469
24.489237,3440,6263.62657
1.497671,1,6263.667425
15.351677,8780,6635.546144
18.621801,6263,6900.761644
11.559567,2817,7020.074006
6.085294,2036,7106.315719
0.892749,248,7116.893439
5.162194,6692,7400.253022
10.460216,3914,7565.810416
5.801039,10706,8018.825847
